Proposição,P1-impeachment,P2-2ªdenuncia temer,P3-PEC do teto,P4-Reforma Trabalhista,P5 - Reforma da Previdência,P6 - Criacao do fundo publico de campanha,P7-Lei da terceirizacao,P8-Financiamento empresarial de campanha,P9-Fim da reeleição,P10
ABEL MESQUITA JR.,1,-1,1,1,0,1,-1,1,1,1
ADAIL CARNEIRO,1,0,0,1,1,0,-1,1,1,0
ADALBERTO CAVALCANTI,-1,0,1,1,0,1,0,1,1,0
ADELMO CARNEIRO LEÃO,-1,-1,-1,-1,0,1,-1,-1,1,-1
ADELSON BARRETO,1,-1,1,-1,0,-1,0,1,1,-1
ADEMIR CAMILO,0,1,1,-1,0,1,-1,-1,1,1
AELTON FREITAS,-1,1,1,1,1,1,0,1,1,1
AFONSO FLORENCE,-1,-1,-1,-1,0,1,-1,-1,1,-1
AFONSO HAMM,1,-1,1,-1,0,-1,1,-1,1,1
AFONSO MOTTA,-1,-1,-1,-1,0,-1,-1,-1,1,0
AGUINALDO RIBEIRO,1,1,1,1,0,1,0,1,1,0
ALAN RICK,1,-1,1,1,0,-1,1,-1,1,1
ALBERTO FILHO,1,0,1,1,0,1,1,1,1,0
ALBERTO FRAGA,1,1,1,1,0,1,0,1,1,1
ALCEU MOREIRA,1,1,1,1,0,-1,0,1,1,1
ALESSANDRO MOLON,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
ALEX CANZIANI,1,1,1,1,0,-1,1,1,-1,1
ALEX MANENTE,1,-1,0,1,0,-1,1,-1,1,0
ALEXANDRE LEITE,1,0,1,1,0,1,1,1,1,0
ALEXANDRE SERFIOTIS,1,1,1,1,0,-1,-1,1,1,1
ALEXANDRE VALLE,1,1,1,1,0,-1,-1,1,1,1
ALFREDO KAEFER,1,1,1,1,0,-1,1,1,1,1
ALFREDO NASCIMENTO,1,1,1,1,0,-1,-1,1,1,1
ALICE PORTUGAL,-1,-1,-1,-1,0,1,-1,-1,1,-1
ALIEL MACHADO,-1,-1,0,-1,0,-1,-1,-1,1,0
ALTINEU CÔRTES,1,1,1,1,0,1,1,1,1,1
ALUISIO MENDES,-1,1,1,1,0,0,1,-1,1,1
ANA PERUGINI,-1,-1,0,-1,0,0,-1,-1,1,0
ANDRÉ ABDON,1,1,1,1,0,1,-1,-1,1,1
ANDRÉ AMARAL,0,1,1,1,0,-1,0,0,0,1
ANDRÉ DE PAULA,1,-1,1,1,0,1,0,0,0,1
ANDRÉ FIGUEIREDO,0,-1,-1,-1,0,1,-1,-1,1,-1
ANDRÉ FUFUCA,1,1,1,1,0,1,1,1,1,0
ANDRE MOURA,1,1,1,1,0,1,1,1,1,1
ANDRES SANCHEZ,-1,-1,-1,-1,0,0,-1,-1,1,-1
ANGELIM,-1,-1,-1,-1,0,1,-1,-1,1,-1
ANÍBAL GOMES,0,1,1,1,0,1,1,1,1,1
ANTONIO BRITO,-1,-1,1,-1,0,1,1,1,1,0
ANTONIO BULHÕES,1,1,1,1,0,-1,0,-1,1,1
ANTONIO CARLOS MENDES THAME,0,-1,0,1,0,0,0,1,1,0
ANTÔNIO JÁCOME,1,-1,1,-1,0,1,-1,-1,1,0
ARIOSTO HOLANDA,-1,-1,0,0,0,-1,0,0,0,0
ARLINDO CHINAGLIA,-1,-1,-1,-1,-1,1,-1,-1,1,0
ARNALDO FARIA DE SÁ,1,-1,-1,-1,-1,0,-1,1,1,-1
ARNALDO JORDY,1,-1,-1,-1,0,0,-1,-1,1,1
AROLDE DE OLIVEIRA,1,-1,0,1,0,-1,0,0,0,0
ARTHUR LIRA,1,1,1,1,0,1,1,1,1,1
ARTHUR OLIVEIRA MAIA,1,1,1,1,0,1,1,1,1,1
ASSIS CARVALHO,-1,-1,-1,-1,-1,1,-1,-1,1,-1
ASSIS DO COUTO,-1,-1,-1,-1,-1,1,-1,-1,1,-1
ASSIS MELO,0,0,0,0,0,1,0,0,0,0
ÁTILA LINS,1,1,0,1,0,0,1,0,1,1
ÁTILA LIRA,1,1,1,1,0,-1,-1,1,1,1
AUGUSTO CARVALHO,1,-1,1,-1,0,-1,-1,-1,1,1
AUGUSTO COUTINHO,1,1,1,1,0,1,1,1,-1,0
AUREO,1,1,1,-1,0,1,0,1,1,1
BACELAR,-1,-1,-1,-1,0,1,-1,-1,1,-1
BALEIA ROSSI,1,1,1,1,0,0,1,-1,1,1
BEBETO,-1,-1,0,-1,-1,1,-1,-1,1,1
BENEDITA DA SILVA,-1,-1,-1,-1,0,1,-1,-1,1,0
BENITO GAMA,1,1,1,1,0,1,0,1,1,1
BENJAMIN MARANHÃO,1,1,1,1,0,-1,1,1,1,1
BETINHO GOMES,1,-1,1,1,0,1,-1,1,1,1
BETO FARO,-1,-1,-1,-1,0,1,-1,-1,1,-1
BETO MANSUR,1,1,1,1,0,-1,1,1,1,1
BETO ROSADO,1,1,1,1,0,1,1,1,1,1
BETO SALAME,0,1,1,-1,0,1,-1,-1,1,-1
BILAC PINTO,1,1,1,1,1,-1,1,1,1,1
BOHN GASS,-1,-1,-1,-1,0,1,-1,-1,1,-1
BONIFÁCIO DE ANDRADA,1,1,1,0,0,0,1,1,1,0
BRUNA FURLAN,1,1,1,1,0,0,1,1,1,0
BRUNNY,-1,1,1,1,0,0,-1,-1,1,1
BRUNO ARAÚJO,1,1,1,1,0,0,1,1,1,0
CABO DACIOLO,1,-1,-1,-1,0,-1,-1,0,1,-1
CABO SABINO,1,-1,0,-1,0,0,-1,-1,1,1
CABUÇU BORGES,1,1,1,1,0,1,1,1,1,1
CACÁ LEÃO,0,1,1,1,0,1,1,1,1,1
CAETANO,-1,-1,-1,-1,0,1,-1,-1,1,0
CAIO NARCIO,1,1,1,1,0,0,1,1,1,1
CAJAR NARDES,0,1,1,1,0,1,0,0,1,1
CAPITÃO AUGUSTO,1,-1,1,1,0,-1,1,1,1,1
CARLOS ANDRADE,1,-1,1,-1,0,-1,0,1,1,1
CARLOS BEZERRA,1,1,1,1,0,0,1,1,1,1
CARLOS EDUARDO CADOCA,0,0,1,1,0,1,-1,-1,1,1
CARLOS GOMES,1,1,1,1,0,-1,0,-1,1,0
CARLOS HENRIQUE GAGUIM,1,1,1,1,0,1,1,1,1,1
CARLOS MANATO,1,-1,1,-1,0,-1,1,1,1,1
CARLOS MARUN,1,1,1,1,1,1,1,1,1,1
CARLOS MELLES,1,1,1,1,1,1,1,1,-1,0
CARLOS SAMPAIO,1,-1,1,1,0,0,1,1,1,1
CARLOS SOUZA,0,0,0,0,0,0,0,0,1,0
CARLOS ZARATTINI,-1,-1,-1,-1,0,1,-1,-1,1,-1
CARMEN ZANOTTO,1,-1,-1,-1,0,-1,1,-1,1,1
CÉLIO SILVEIRA,1,1,1,1,0,-1,1,1,1,1
CELSO JACOB,0,1,1,1,0,1,1,1,1,1
CELSO MALDANER,1,1,1,1,0,-1,1,1,1,1
CELSO PANSERA,-1,-1,1,-1,0,1,1,1,-1,-1
CELSO RUSSOMANNO,1,1,1,1,0,-1,-1,-1,1,1
CÉSAR HALUM,1,1,1,1,0,-1,1,1,1,1
CÉSAR MESSIAS,-1,-1,-1,0,0,-1,1,-1,1,0
CESAR SOUZA,1,1,0,0,0,0,1,1,1,0
CHICO ALENCAR,-1,-1,-1,-1,0,-1,-1,-1,1,-1
CHICO D'ANGELO,-1,-1,0,-1,0,1,0,0,1,0
CHICO LOPES,-1,-1,-1,-1,0,1,0,-1,1,-1
CHRISTIANE DE SOUZA YARED,1,-1,1,-1,0,-1,-1,-1,1,0
CÍCERO ALMEIDA,1,-1,0,-1,0,-1,-1,-1,1,0
CLAUDIO CAJADO,1,1,0,1,0,1,1,1,1,0
CLEBER VERDE,1,1,1,1,0,0,-1,-1,1,1
CONCEIÇÃO SAMPAIO,1,-1,1,-1,0,-1,-1,-1,1,1
COVATTI FILHO,1,1,1,1,0,0,1,1,1,1
